phrase,target
The real estate company posted a net loss of +ï¿½  x201a -ï¿½ 59.3 million +ï¿½  x201a -ï¿½ 0.21 per share compared with a net profit of +ï¿½  x201a -ï¿½ 31 million +ï¿½  x201a -ï¿½ 0.11 per share for the corresponding quarter of 2007 ,negative
 Schindler AG and Kone Oyj a total of 992.3 mln eur for alleged cartel activity in the lift market going back twelve years ,negative
561 tonnes in September 2009 ,negative
Finnish media group Talentum has issued a profit warning ,negative
Net profit fell by almost half to +ï¿½ 5.5 million from +ï¿½ 9.4 million at the end of 2007 ,negative
Cash flow from operations in January-December 2008 was a negative EUR 18.1 mn compared to EUR 39.0 mn in the corresponding period in 2007 ,negative
Diluted earnings per share ( EPS ) stood at EUR 0.25 versus EUR 0.42 ,negative
 so a fall in consumption will lead to losses ,negative
Market share decreased on the route between Helsinki in Finland and Tallinn in Estonia by 0.1 percentage points to 24.8 % ,negative
Finnish developer and manufacturer of mobile phone chargers Salcomp Plc OMX Helsinki : SAL1V on Wednesday 19 November lowered its full-year net sales estimate ,negative
 2010 - Finnish cutlery and hand tools maker Fiskars Oyj Abp ( HEL : FISAS ) said today its net profit declined to EUR 12.9 million ( USD 17m ) in the first quarter of 2010 from EUR 17 million in the correspon,negative
 down from EUR 7.2 mn in the corresponding period in 2005 ,negative
 down from EUR 1.6 mn in the third quarter of 2008 ,negative
 which was a drop of 12.6 % from the same period of 2008 ,negative
Operating profit excluding non-recurring items was EUR 7.8 million compared to EUR 11.2 million ,negative
Scanfil has also issued a profit warning ,negative
- Net sales for the period are expected to fall well below that of last year and the result after non-recurring items is expected to be in the red ,negative
down to EUR5 .9 m H1 '09 3 August 2009 - Finnish media group Ilkka-Yhtyma Oyj ( HEL : ILK2S ) said today its net profit fell 45 % on the year to EUR5 .9 m in the first half of 2009 ,negative
Finnish Bank of +ï¿½land reports its operating profit fell to EUR 4.9 mn in the third quarter of 2007 from EUR 5.6 mn in the third quarter of 2006 ,negative
Earnings per share ( EPS ) in 2005 decreased to EUR1 .87 from EUR1 .89 in 2003 ,negative
 '' Mr Meiklejohn said ,negative
Operating profit fell to EUR 38.1 mn from EUR 55.3 mn in 2007 ,negative
 down from EUR 99.5 mn in the first half of 2009 ,negative
 compared to a profit of EUR 11.5 mn in 2008 ,negative
Finnish laboratory liquid handling and diagnostic test systems developer Biohit Oyj OMX Helsinki : BIOBV issued on Tuesday 3 June a profit warning for the financial year 2008 ,negative
 '' he added ,negative
 representing a drop of 29 percent year on year ,negative
 down from EUR 1.1 mn in the corresponding period in 2008 ,negative
 Russia and the Baltic countries ,negative
 while sales outside Finland dropped by 17 % ,negative
 down from EUR 4.9 mn ,negative
 lost about $ 3.5 million in Madoff Ponzi scheme ,negative
 down from EUR 111.1 mn a year earlier ,negative
000 in the corresponding period a year earlier ,negative
 and international sales fell by 19 % ,negative
Finnish automation solutions developer Cencorp Corporation ( OMX Helsinki : CNC1V ) issued on Thursday ( 18 September ) a profit warning for the third quarter of 2008 ,negative
 down from EUR -1.7 mn ,negative
 and the company held 9.89 percent of the market ,negative
 down from EUR 1.3 mn ,negative
 however ,negative
 compared to 8.4 mln euro $ 10.9 mln for 2005 ,negative
 primarily based on work carried out under the contract and additional costs incurred due to prolongation of the project ,negative
 especially in Germany ,negative
The move was triggered by weak demand for forestry equipment and the uncertain market situation ,negative
The situation of coated magazine printing paper will continue to be weak ,negative
 down from a net profit of euro13 million a year earlier ,negative
 the market declined by 10.2 percent year-on-year to 19.28 million liters ,negative
 down from EUR 62.4 mn a year earlier ,negative
 totalling EUR 154.1 mn ,negative
 resulting in a decline in demand for its products as customers find it increasingly difficult to fund operations ,negative
 down from a profit of EUR 2.7 mn ,negative
 decreased to EUR 161.5 mn from EUR 164.1 mn in January-September 2005 ,negative
 diluted loss per share stood at EUR0 .3 versus EUR0 .1 in the first half of 2009 ,negative
 down 15.2 % year-on-ye,negative
